# config, g, E, ionLevel, Qn, Eth_eV, Eth_Hz, Eth_nm
3s2.3p6                    1.0  0.000000 15.759612 1.00  1.58e+01  3.81e+15        78.6721
3s2.3p5.(2P*<3/2>).4s      5.0 11.548354 15.759612 2.05  4.21e+00  1.02e+15       294.4113
3s2.3p5.(2P*<3/2>).4s      3.0 11.623593 15.759612 2.05  4.14e+00  1.00e+15       299.7670
3s2.3p5.(2P*<1/2>).4s      1.0 11.723160 15.937106 2.05  4.21e+00  1.02e+15       294.2235
3s2.3p5.(2P*<1/2>).4s      3.0 11.828071 15.937106 2.05  4.11e+00  9.94e+14       301.7356
3s2.3p5.(2P*<3/2>).4p      3.0 12.907015 15.759612 2.05  2.85e+00  6.90e+14       434.6362
3s2.3p5.(2P*<3/2>).4p      7.0 13.075716 15.759612 2.05  2.68e+00  6.49e+14       461.9561
3s2.3p5.(2P*<3/2>).4p      5.0 13.094873 15.759612 2.05  2.66e+00  6.44e+14       465.2771
3s2.3p5.(2P*<3/2>).4p      3.0 13.153144 15.759612 2.05  2.61e+00  6.30e+14       475.6790
3s2.3p5.(2P*<3/2>).4p      5.0 13.171778 15.759612 2.05  2.59e+00  6.26e+14       479.1042
3s2.3p5.(2P*<3/2>).4p      1.0 13.273038 15.759612 2.05  2.49e+00  6.01e+14       498.6146
3s2.3p5.(2P*<1/2>).4p      3.0 13.282639 15.937106 2.05  2.65e+00  6.42e+14       467.0776
3s2.3p5.(2P*<1/2>).4p      5.0 13.302227 15.937106 2.05  2.63e+00  6.37e+14       470.5500
3s2.3p5.(2P*<1/2>).4p      3.0 13.327857 15.937106 2.05  2.61e+00  6.31e+14       475.1720
3s2.3p5.(2P*<1/2>).4p      1.0 13.479887 15.937106 2.05  2.46e+00  5.94e+14       504.5713
3s2.3p5.(2P*<3/2>).3d      1.0 13.845038 15.759612 1.00  1.91e+00  4.63e+14       647.5812
3s2.3p5.(2P*<3/2>).3d      3.0 13.863669 15.759612 1.00  1.90e+00  4.58e+14       653.9448
3s2.3p5.(2P*<3/2>).3d      5.0 13.903455 15.759612 1.00  1.86e+00  4.49e+14       667.9618
3s2.3p5.(2P*<3/2>).3d      9.0 13.979237 15.759612 1.00  1.78e+00  4.30e+14       696.3938
3s2.3p5.(2P*<3/2>).3d      7.0 14.012738 15.759612 1.00  1.75e+00  4.22e+14       709.7490
3s2.3p5.(2P*<3/2>).3d      5.0 14.063027 15.759612 1.00  1.70e+00  4.10e+14       730.7869
3s2.3p5.(2P*<3/2>).5s      5.0 14.068298 15.759612 1.00  1.69e+00  4.09e+14       733.0644
3s2.3p5.(2P*<3/2>).5s      3.0 14.089968 15.759612 1.00  1.67e+00  4.04e+14       742.5787
3s2.3p5.(2P*<3/2>).3d      7.0 14.099056 15.759612 1.00  1.66e+00  4.02e+14       746.6427
