# v, J, g, E
0,0,1,0.145769
0,1,3,0.146262
0,2,5,0.147249
0,3,7,0.148729
0,4,9,0.150702
0,5,11,0.153168
0,6,13,0.156128
0,7,15,0.159580
0,8,17,0.163525
0,9,19,0.167963
0,10,21,0.172894
0,11,23,0.178317
0,12,25,0.184232
0,13,27,0.190639
0,14,29,0.197538
0,15,31,0.204929
0,16,33,0.212810
0,17,35,0.221183
0,18,37,0.230047
0,19,39,0.239401
0,20,41,0.249245
0,21,43,0.259578
0,22,45,0.270402
0,23,47,0.281714
0,24,49,0.293515
0,25,51,0.305803
0,26,53,0.318580
0,27,55,0.331844
0,28,57,0.345595
0,29,59,0.359832
0,30,61,0.374556
0,31,63,0.389764
0,32,65,0.405457
0,33,67,0.421635
0,34,69,0.438296
0,35,71,0.455441
0,36,73,0.473068
0,37,75,0.491177
0,38,77,0.509767
0,39,79,0.528838
0,40,81,0.548389
0,41,83,0.568419
0,42,85,0.588928
0,43,87,0.609915
0,44,89,0.631379
0,45,91,0.653319
0,46,93,0.675734
0,47,95,0.698625
0,48,97,0.721989
0,49,99,0.745827
0,50,101,0.770137
0,51,103,0.794919
0,52,105,0.820171
0,53,107,0.845893
0,54,109,0.872084
0,55,111,0.898742
0,56,113,0.925868
0,57,115,0.953459
0,58,117,0.981516
0,59,119,1.010036
0,60,121,1.039020
0,61,123,1.068466
0,62,125,1.098372
0,63,127,1.128738
0,64,129,1.159563
0,65,131,1.190846
0,66,133,1.222586
0,67,135,1.254780
0,68,137,1.287430
0,69,139,1.320532
0,70,141,1.354086
0,71,143,1.388091
0,72,145,1.422545
0,73,147,1.457448
0,74,149,1.492798
0,75,151,1.528594
0,76,153,1.564834
0,77,155,1.601517
0,78,157,1.638642
0,79,159,1.676208
0,80,161,1.714213
0,81,163,1.752655
0,82,165,1.791535
0,83,167,1.830849
0,84,169,1.870596
0,85,171,1.910776
0,86,173,1.951387
0,87,175,1.992426
0,88,177,2.033894
0,89,179,2.075788
0,90,181,2.118106
0,91,183,2.160848
0,92,185,2.204011
0,93,187,2.247594
0,94,189,2.291596
0,95,191,2.336014
0,96,193,2.380848
0,97,195,2.426095
0,98,197,2.471754
0,99,199,2.517823
0,100,201,2.564301
0,101,203,2.611185
0,102,205,2.658475
0,103,207,2.706168
0,104,209,2.754262
0,105,211,2.802756
0,106,213,2.851648
0,107,215,2.900937
0,108,217,2.950619
0,109,219,3.000694
0,110,221,3.051160
0,111,223,3.102014
0,112,225,3.153255
0,113,227,3.204881
0,114,229,3.256890
0,115,231,3.309280
0,116,233,3.362049
0,117,235,3.415195
0,118,237,3.468716
0,119,239,3.522610
0,120,241,3.576875
0,121,243,3.631509
0,122,245,3.686509
0,123,247,3.741875
0,124,249,3.797603
0,125,251,3.853692
0,126,253,3.910139
0,127,255,3.966942
0,128,257,4.024099
0,129,259,4.081608
0,130,261,4.139467
0,131,263,4.197673
0,132,265,4.256224
0,133,267,4.315118
0,134,269,4.374353
0,135,271,4.433926
0,136,273,4.493835
0,137,275,4.554077
0,138,277,4.614651
0,139,279,4.675554
0,140,281,4.736784
0,141,283,4.798338
0,142,285,4.860213
0,143,287,4.922408
0,144,289,4.984919
0,145,291,5.047745
0,146,293,5.110883
0,147,295,5.174331
0,148,297,5.238085
0,149,299,5.302144
0,150,301,5.366504
0,151,303,5.431164
0,152,305,5.496120
0,153,307,5.561371
0,154,309,5.626912
0,155,311,5.692743
0,156,313,5.758860
0,157,315,5.825260
0,158,317,5.891941
0,159,319,5.958900
0,160,321,6.026134
0,161,323,6.093641
0,162,325,6.161417
0,163,327,6.229461
0,164,329,6.297769
0,165,331,6.366338
0,166,333,6.435166
0,167,335,6.504250
0,168,337,6.573587
0,169,339,6.643174
0,170,341,6.713008
0,171,343,6.783086
0,172,345,6.853405
0,173,347,6.923963
0,174,349,6.994756
0,175,351,7.065781
0,176,353,7.137036
0,177,355,7.208517
0,178,357,7.280222
0,179,359,7.352147
0,180,361,7.424289
0,181,363,7.496645
0,182,365,7.569212
0,183,367,7.641987
0,184,369,7.714967
0,185,371,7.788149
0,186,373,7.861529
0,187,375,7.935104
0,188,377,8.008872
0,189,379,8.082828
0,190,381,8.156970
0,191,383,8.231294
0,192,385,8.305797
0,193,387,8.380476
0,194,389,8.455327
0,195,391,8.530348
0,196,393,8.605534
0,197,395,8.680883
0,198,397,8.756391
0,199,399,8.832055
0,200,401,8.907871
0,201,403,8.983835
0,202,405,9.059945
0,203,407,9.136197
0,204,409,9.212588
0,205,411,9.289113
0,206,413,9.365770
0,207,415,9.442555
0,208,417,9.519464
0,209,419,9.596494
0,210,421,9.673641
0,211,423,9.750901
0,212,425,9.828272
0,213,427,9.905749
0,214,429,9.983329
0,215,431,10.061008
0,216,433,10.138782
0,217,435,10.216648
0,218,437,10.294602
0,219,439,10.372640
0,220,441,10.450758
0,221,443,10.528953
0,222,445,10.607221
0,223,447,10.685558
0,224,449,10.763961
0,225,451,10.842424
0,226,453,10.920946
0,227,455,10.999521
0,228,457,11.078146
0,229,459,11.156816
0,230,461,11.235529
0,231,463,11.314280
0,232,465,11.393065
0,233,467,11.471880
0,234,469,11.550721
0,235,471,11.629584
0,236,473,11.708465
0,237,475,11.787360
0,238,477,11.866265
0,239,479,11.945176
0,240,481,12.024089
0,241,483,12.102999
0,242,485,12.181903
0,243,487,12.260796
0,244,489,12.339675
0,245,491,12.418534
0,246,493,12.497371
0,247,495,12.576180
0,248,497,12.654957
0,249,499,12.733699
0,250,501,12.812400
0,251,503,12.891057
0,252,505,12.969666
0,253,507,13.048221
1,0,1,0.434641
1,1,3,0.435130
1,2,5,0.436108
1,3,7,0.437575
1,4,9,0.439531
1,5,11,0.441976
1,6,13,0.444910
1,7,15,0.448332
1,8,17,0.452243
1,9,19,0.456643
1,10,21,0.461530
1,11,23,0.466906
1,12,25,0.472770
1,13,27,0.479121
1,14,29,0.485960
1,15,31,0.493286
1,16,33,0.501099
1,17,35,0.509399
1,18,37,0.518185
1,19,39,0.527457
1,20,41,0.537215
1,21,43,0.547459
1,22,45,0.558187
1,23,47,0.569401
1,24,49,0.581099
1,25,51,0.593280
1,26,53,0.605945
1,27,55,0.619093
1,28,57,0.632724
1,29,59,0.646837
1,30,61,0.661431
1,31,63,0.676506
1,32,65,0.692062
1,33,67,0.708098
1,34,69,0.724614
1,35,71,0.741608
1,36,73,0.759080
1,37,75,0.777030
1,38,77,0.795457
1,39,79,0.814361
1,40,81,0.833740
1,41,83,0.853594
1,42,85,0.873922
1,43,87,0.894724
1,44,89,0.915999
1,45,91,0.937746
1,46,93,0.959964
1,47,95,0.982653
1,48,97,1.005811
1,49,99,1.029439
1,50,101,1.053534
1,51,103,1.078096
1,52,105,1.103125
1,53,107,1.128620
1,54,109,1.154578
1,55,111,1.181001
1,56,113,1.207886
1,57,115,1.235232
1,58,117,1.263040
1,59,119,1.291307
1,60,121,1.320033
1,61,123,1.349216
1,62,125,1.378857
1,63,127,1.408952
1,64,129,1.439503
1,65,131,1.470506
1,66,133,1.501962
1,67,135,1.533869
1,68,137,1.566226
1,69,139,1.599032
1,70,141,1.632286
1,71,143,1.665986
1,72,145,1.700131
1,73,147,1.734720
1,74,149,1.769752
1,75,151,1.805226
1,76,153,1.841140
1,77,155,1.877492
1,78,157,1.914282
1,79,159,1.951509
1,80,161,1.989170
1,81,163,2.027265
1,82,165,2.065792
1,83,167,2.104749
1,84,169,2.144136
1,85,171,2.183951
1,86,173,2.224192
1,87,175,2.264858
1,88,177,2.305948
1,89,179,2.347459
1,90,181,2.389391
1,91,183,2.431742
1,92,185,2.474510
1,93,187,2.517694
1,94,189,2.561292
1,95,191,2.605302
1,96,193,2.649723
1,97,195,2.694554
1,98,197,2.739792
1,99,199,2.785436
1,100,201,2.831484
1,101,203,2.877935
1,102,205,2.924787
1,103,207,2.972037
1,104,209,3.019685
1,105,211,3.067728
1,106,213,3.116165
1,107,215,3.164994
1,108,217,3.214212
1,109,219,3.263819
1,110,221,3.313812
1,111,223,3.364190
1,112,225,3.414950
1,113,227,3.466091
1,114,229,3.517610
1,115,231,3.569506
1,116,233,3.621777
1,117,235,3.674420
1,118,237,3.727434
1,119,239,3.780817
1,120,241,3.834567
1,121,243,3.888681
1,122,245,3.943158
1,123,247,3.997995
1,124,249,4.053191
1,125,251,4.108742
1,126,253,4.164648
1,127,255,4.220906
1,128,257,4.277513
1,129,259,4.334468
1,130,261,4.391769
1,131,263,4.449412
1,132,265,4.507396
1,133,267,4.565719
1,134,269,4.624378
1,135,271,4.683372
1,136,273,4.742697
1,137,275,4.802351
1,138,277,4.862332
1,139,279,4.922638
1,140,281,4.983266
1,141,283,5.044215
1,142,285,5.105480
1,143,287,5.167061
1,144,289,5.228954
1,145,291,5.291157
1,146,293,5.353668
1,147,295,5.416484
1,148,297,5.479603
1,149,299,5.543022
1,150,301,5.606738
1,151,303,5.670749
1,152,305,5.735053
1,153,307,5.799646
1,154,309,5.864526
1,155,311,5.929691
1,156,313,5.995138
1,157,315,6.060864
1,158,317,6.126866
1,159,319,6.193142
1,160,321,6.259689
1,161,323,6.326504
1,162,325,6.393585
1,163,327,6.460929
1,164,329,6.528533
1,165,331,6.596393
1,166,333,6.664509
1,167,335,6.732875
1,168,337,6.801490
1,169,339,6.870351
1,170,341,6.939455
1,171,343,7.008799
1,172,345,7.078379
1,173,347,7.148194
1,174,349,7.218240
1,175,351,7.288514
1,176,353,7.359013
1,177,355,7.429734
1,178,357,7.500674
1,179,359,7.571830
1,180,361,7.643199
1,181,363,7.714778
1,182,365,7.786563
1,183,367,7.858552
1,184,369,7.930742
1,185,371,8.003129
1,186,373,8.075710
1,187,375,8.148483
1,188,377,8.221442
1,189,379,8.294587
1,190,381,8.367913
1,191,383,8.441417
1,192,385,8.515095
