-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|           TP  |   Line  |
   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |---------------------------------------|----------------------------------------|    |          Ref. |   Ref.  |
    Vac (nm)     |    Vac (nm)     |       |             |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |               |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
        104.8220 |        104.8220 | 1000r | 5.32e+08    | AA   |   0.00000000  -   11.82807116 | 3s2.3p6               | 1S      | 0   | 3s2.3p5.(2P*<1/2>).4s  | 2[1/2]* | 1   |    |         T7574 |  L2131  |
        106.6660 |        106.6660 |  500r | 1.320e+08   | A+   |   0.00000000  -   11.62359272 | 3s2.3p6               | 1S      | 0   | 3s2.3p5.(2P*<3/2>).4s  | 2[3/2]* | 1   |    |         T7574 |  L2131  |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|           TP  |   Line  |
   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |---------------------------------------|----------------------------------------|    |          Ref. |   Ref.  |
    Air (nm)     |    Air (nm)     |       |             |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |               |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
                 |        340.6180 |       | 3.9e+05     | D    |  11.82807116  -   15.4670046  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).7p  | 2[1/2]  | 0   |    |        T1086n |         |
        346.107  |        346.1078 |     7 | 6.7e+04     | D    |  11.62359272  -   15.2048089  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).6p  | 2[3/2]  | 2   |    |        T1086n |  L3512  |
        355.4306 |        355.4305 |     7 | 2.7e+05     | D    |  11.54835442  -   15.0356402  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).6p  | 2[3/2]  | 2   |    |        T1086n |  L2634  |
                 |        356.3286 |       | 1.2e+05     | D    |  11.72316039  -   15.2016576  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<1/2>).6p  | 2[3/2]  | 1   |    |        T1086n |         |
                 |        356.7656 |       | 1.1e+05     | D    |  11.54835442  -   15.0225909  | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).6p  | 2[5/2]  | 3   |    |        T1086n |         |
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
