------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |         Ei           Ek         |            Lower level            |            Upper level            |Type|    TP  |    Line  |
      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |        (eV)         (eV)        |-----------------------------------|-----------------------------------|    |   Ref. |    Ref.  |
       Vac (nm)       |       Vac (nm)       |           |             |      |                                 | Conf.              | Term  | J    | Conf.              | Term  | J    |    |        |          |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          126.8483    |          126.8478758 |         1 |             |      |  16.45737782   -   26.23162100  | 3s2.3p4.(3P).3d    | 4D    | 1/2  | 3s2.3p4.(3P<1>).6f | 2[2]* | 3/2  |    |        |  L16202  |
          128.0225    |          128.022126  |         1 |             |      |  16.40650186   -   26.0910933   | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).6f | 2[4]* | 9/2  |    |        |  L16202  |
          128.2620    |          128.261190  |         1 |             |      |  16.42557623   -   26.09211674  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).6f | 2[4]* | 7/2  |    |        |  L16202  |
          128.4793    |          128.478588  |         1 |             |      |  16.44411446   -   26.0942982   | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<2>).6f | 2[3]* | 5/2  |    |        |  L16202  |
          134.8745    |          134.8750323 |         1 |             |      |  16.42557623   -   25.61810033  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<0>).5f | 2[3]* | 7/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          135.1330    |          135.1333258 |         1 |             |      |  16.44411446   -   25.61906799  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<0>).5f | 2[3]* | 5/2  |    |        |  L16202  |
          135.4912    |          135.4913845 |         2 |             |      |  16.40650186   -   25.55720904  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<1>).5f | 2[4]* | 9/2  |    |        |  L16202  |
          135.7435    |          135.7444859 |         0 |             |      |  16.42557623   -   25.55922152  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<1>).5f | 2[4]* | 7/2  |    |        |  L16202  |
          136.0735    |          136.0735846 |         1 |             |      |  16.44411446   -   25.55566971  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<1>).5f | 2[2]* | 5/2  |    |        |  L16202  |
          136.3031    |          136.3033451 |         2 |             |      |  16.45737782   -   25.55357413  | 3s2.3p4.(3P).3d    | 4D    | 1/2  | 3s2.3p4.(3P<1>).5f | 2[2]* | 3/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          137.6107    |          137.6106157 |       0.5 |             |      |  16.40650186   -   25.41628630  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).5f | 2[3]* | 7/2  |    |        |  L16202  |
