---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki     | Acc. |        Ei           Ek        |          Lower level          |          Upper level          |Type|        TP  |    Line  |
     Wavelength     |     Wavelength     |  Int. |   (s^-1)   |      |       (eV)         (eV)       |-------------------------------|-------------------------------|    |       Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |       |            |      |                               | Conf.            | Term | J   | Conf.            | Term | J   |    |            |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         100.2096   |         100.20992  |   150 |            |      |   1.737019    -   14.109466   | 3s2.3p4          | 1D   | 2   | 3s.3p5           | 3P*  | 2   |    |            |  L11588  |
         100.5270   |         100.53018  |     9 |            |      |  17.963508    -   30.29654080 | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(2P*).4p | 1D   | 2   |    |            |   L9366  |
         101.4780   |         101.48128  |     9 |            |      |  17.963508    -   30.18095237 | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(2P*).4p | 3P   | 2   |    |            |   L9366  |
         101.7660   |         101.76915  |    12 |            |      |  17.963508    -   30.1463937  | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(2P*).4p | 3P   | 1   |    |            |   L9366  |
         104.8200   |         104.819945 |    12 |            |      |  17.9641548   -   29.79245706 | 3s2.3p3.(4S*).3d | 5D*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 3   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         104.8380   |         104.84257  |    15 |            |      |  17.966708    -   29.79245706 | 3s2.3p3.(4S*).3d | 5D*  | 4   | 3s2.3p3.(2P*).4p | 3D   | 3   |    |            |   L9366  |
         104.9690   |         104.96866  |     6 |            |      |  17.963508    -   29.7750520  | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(2P*).4p | 3D   | 1   |    |            |   L9366  |
         115.7470   |         115.746119 |     1 |            |      |  19.4692154   -   30.18095237 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(2P*).4p | 3P   | 2   |    |            |   L9366  |
         115.9770   |         115.976310 |     6 |            |      |  19.4559174   -   30.1463937  | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2P*).4p | 3P   | 1   |    |            |   L9366  |
         119.9370   |         119.937364 |    12 |            |      |  19.4550447   -   29.79245706 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(2P*).4p | 3D   | 3   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         119.9950   |         119.996310 |    12 |            |      |  19.4559174   -   29.7882517  | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 2   |    |            |   L9366  |
         120.1490   |         120.149803 |    6* |            |      |  19.4559174   -   29.7750520  | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 1   |    |            |   L9366  |
