----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Vac (nm)    |    Vac (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       100.2710 |       100.2712 |  9bl: |            |      |  23.28687   -   35.65176  | 3s2.3p2.(3P).3d | 4D   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 7/2 |       |            |  L11418  |
       100.6540 |       100.6539 |    10 |            |      |  23.23433   -   35.552196 | 3s2.3p2.(3P).3d | 4D   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       |            |  L11418  |
       101.0780 |       101.0774 |     8 |            |      |  23.22105   -   35.487315 | 3s2.3p2.(3P).3d | 4D   | 1/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       |            |  L11418  |
       101.0860 |       101.0851 |    13 |            |      |  23.28687   -   35.552196 | 3s2.3p2.(3P).3d | 4D   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       |            |  L11418  |
       101.1870 |       101.1869 |     9 |            |      |  23.23433   -   35.487315 | 3s2.3p2.(3P).3d | 4D   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       101.2910 |       101.2901 |    12 |            |      |  23.41125   -   35.65176  | 3s2.3p2.(3P).3d | 4D   | 7/2 | 3s2.3p2.(3P).4p | 4D*  | 7/2 |       |            |  L11418  |
       101.3530 |       101.3522 |     9 |            |      |  23.22105   -   35.454050 | 3s2.3p2.(3P).3d | 4D   | 1/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       |            |  L11418  |
       101.4620 |       101.4624 |     8 |            |      |  23.23433   -   35.454050 | 3s2.3p2.(3P).3d | 4D   | 3/2 | 3s2.3p2.(3P).4p | 4D*  | 1/2 |       |            |  L11418  |
       101.6210 |       101.6227 |  12bl |            |      |  23.28687   -   35.487315 | 3s2.3p2.(3P).3d | 4D   | 5/2 | 3s2.3p2.(3P).4p | 4D*  | 3/2 |       |            |  L11418  |
       102.0900 |       102.0903 |     8 |            |      |   2.61490   -   14.75946  | 3s2.3p3         | 2D*  | 3/2 | 3s.3p4          | 4P   | 1/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       102.1200 |       102.1207 |     6 |            |      |  23.41125   -   35.552196 | 3s2.3p2.(3P).3d | 4D   | 7/2 | 3s2.3p2.(3P).4p | 4D*  | 5/2 |       |            |  L11418  |
       102.6430 |       102.6430 |     9 |            |      |   2.61490   -   14.69407  | 3s2.3p3         | 2D*  | 3/2 | 3s.3p4          | 4P   | 3/2 |       |            |  L11418  |
