----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |     Rel. |    Aki     | Acc. |       Ei           Ek       |            Lower level            |            Upper level             |Type|                TP  |       Line  |
      Wavelength      |      Wavelength      |     Int. |   (s^-1)   |      |      (eV)         (eV)      |-----------------------------------|------------------------------------|    |               Ref. |       Ref.  |
       Vac (nm)       |       Vac (nm)       |          |            |      |                             | Conf.             | Term    | J   | Conf.              | Term    | J   |    |                    |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          102.5777    |          102.577622+ |        a |            |      |   0.0000000  -   12.0868662 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).20d | 2[3/2]* | 1   |    |                    |      L6449  |
          102.5906    |          102.590586+ |        a |            |      |   0.0000000  -   12.0853388 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).20d | 2[1/2]* | 1   |    |                    |      L6449  |
          102.6223    |          102.622313+ |        a |            |      |   0.0000000  -   12.0816024 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).19d | 2[3/2]* | 1   |    |                    |      L6449  |
          102.6378    |          102.637810+ |        a |            |      |   0.0000000  -   12.0797782 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).19d | 2[1/2]* | 1   |    |                    |      L6449  |
          102.6637    |          102.663548+ |        a |            |      |   0.0000000  -   12.0767498 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).20s | 2[3/2]* | 1   |    |                    |      L6449  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          102.6758    |          102.675786+ |        a |            |      |   0.0000000  -   12.0753103 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).18d | 2[3/2]* | 1   |    |                    |      L6449  |
          102.6946    |          102.694525+ |        a |            |      |   0.0000000  -   12.0731070 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).18d | 2[1/2]* | 1   |    |                    |      L6449  |
          102.7260    |          102.725772+ |        a |            |      |   0.0000000  -   12.0694346 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).19s | 2[3/2]* | 1   |    |                    |      L6449  |
          102.7405    |          102.740502+ |        a |            |      |   0.0000000  -   12.0677041 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).17d | 2[3/2]* | 1   |    |                    |      L6449  |
          102.7635    |          102.7635+   |        a |            |      |   0.0000000  -   12.06500   | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).17d | 2[1/2]* | 1   |    |                    |      L6449  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          102.8020    |          102.801921+ |        a |            |      |   0.0000000  -   12.0604943 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).18s | 2[3/2]* | 1   |    |                    |      L6449  |
          102.8198    |          102.819847+ |        a |            |      |   0.0000000  -   12.0583917 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).16d | 2[3/2]* | 1   |    |                    |      L6449  |
