-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki    | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |   Line  |
     Wavelength     |     Wavelength     |  Int. |  (s^-1)   |      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |   Ref.  |
      Vac (nm)      |      Vac (nm)      |       |           |      |                           | Conf.          | Term  | J    | Conf.          | Term  | J    |    |        |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         102.7050   |         102.70368+ |     5 |           |      |   1.306423  -   13.378453 | 5p5            | 2P*   | 1/2  | 5p4.(3P<1>).5d | 2[1]  | 3/2  |    |        |  L6925  |
         103.2438   |         103.24373+ |     3 |           |      |   0.000000  -   12.008884 | 5p5            | 2P*   | 3/2  | 5p4.(3P<2>).5d | 2[1]  | 1/2  |    |        |  L6925  |
         103.2596   |         103.25807+ |     5 |           |      |   1.306423  -   13.313639 | 5p5            | 2P*   | 1/2  | 5p4.(3P<0>).5d | 2[2]  | 3/2  |    |        |  L6925  |
         103.7680   |         103.76769+ |     6 |           |      |   1.306423  -   13.254670 | 5p5            | 2P*   | 1/2  | 5p4.(3P<1>).6s | 2[1]  | 1/2  |    |        |  L6925  |
         104.1306   |         104.13035+ |    10 |           |      |   0.000000  -   11.906634 | 5p5            | 2P*   | 3/2  | 5p4.(3P<2>).5d | 2[2]  | 3/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         104.8120   |         104.81022+ |    2c |           |      |   1.306423  -   13.135822 | 5p5            | 2P*   | 1/2  | 5p4.(3P<2>).5d | 2[0]  | 1/2  |    |        |  L6925  |
         104.8272   |         104.82539+ |     8 |           |      |   0.000000  -   11.827688 | 5p5            | 2P*   | 3/2  | 5p4.(3P<2>).5d | 2[2]  | 5/2  |    |        |  L6925  |
         105.1920   |         105.19187+ |    10 |           |      |   0.000000  -   11.786481 | 5p5            | 2P*   | 3/2  | 5p4.(3P<2>).6s | 2[2]  | 3/2  |    |        |  L6925  |
         106.7088   |         106.70872+ |     6 |           |      |   1.306423  -   12.925360 | 5p5            | 2P*   | 1/2  | 5p4.(3P<1>).5d | 2[1]  | 1/2  |    |        |  L6925  |
         107.4476   |         107.44781+ |    12 |           |      |   0.000000  -   11.539016 | 5p5            | 2P*   | 3/2  | 5p4.(3P<2>).6s | 2[2]  | 5/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         108.3860   |         108.38691+ |     5 |           |      |   1.306423  -   12.745460 | 5p5            | 2P*   | 1/2  | 5p4.(3P<1>).6s | 2[1]  | 3/2  |    |        |  L6925  |
         110.0432   |         110.04268+ |    10 |           |      |   0.000000  -   11.266919 | 5p5            | 2P*   | 3/2  | 5s.5p6         | 2S    | 1/2  |    |        |  L6925  |
         110.3515   |         110.35034+ |     0 |           |      |   1.306423  -   12.541929 | 5p5            | 2P*   | 1/2  | 5p4.(3P<0>).6s | 2[0]  | 1/2  |    |        |  L6925  |
