----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |     Rel. | Aki  | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |    Line  |
     Wavelength     |     Wavelength     |     Int. |(s^-1)|      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |          |      |      |                           | Conf.            | Term | J   | Conf.            | Term | J   |    |        |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         100.2087   |         100.20872+ |        6 |      |      |  12.840820  -   25.213415 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2P*).4f | 3D   | 2   |    |        |  L10579  |
         101.4825   |         101.48225+ |       12 |      |      |   1.214346  -   13.431674 | 5s2.5p4          | 3P   | 1   | 5s.5p5           | 3P*  | 0   |    |        |  L10579  |
         101.6188   |         101.61818+ |        2 |      |      |  13.942011  -   26.142997 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5p6              | 1S   | 0   |    |        |  L10579  |
         101.7682   |         101.76825+ |       13 |      |      |   0.000000  -   12.182994 | 5s2.5p4          | 3P   | 2   | 5s.5p5           | 3P*  | 2   |    |        |  L10579  |
         104.7799   |         104.77993+ |       15 |      |      |   1.008001  -   12.840820 | 5s2.5p4          | 3P   | 0   | 5s.5p5           | 3P*  | 1   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         104.8755   |         104.87548+ |       11 |      |      |   2.119972  -   13.942011 | 5s2.5p4          | 1D   | 2   | 5s2.5p3.(4S*).5d | 5D*  | 1   |    |        |  L10579  |
         105.5326   |         105.53238+ |       11 |      |      |   2.119972  -   13.868424 | 5s2.5p4          | 1D   | 2   | 5s2.5p3.(4S*).5d | 5D*  | 2   |    |        |  L10579  |
         105.8136   |         105.81263+ |        9 |      |      |   2.119972  -   13.837307 | 5s2.5p4          | 1D   | 2   | 5s2.5p3.(4S*).5d | 5D*  | 3   |    |        |  L10579  |
         106.0529   |         106.05333+ |        1 |      |      |  12.840820  -   24.531561 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(4S*).5f | 5F   | 2   |    |        |  L10579  |
         106.6393   |         106.63955+ |       18 |      |      |   1.214346  -   12.840820 | 5s2.5p4          | 3P   | 1   | 5s.5p5           | 3P*  | 1   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         107.7844   |         107.78480+ |        1 |      |      |  13.837307  -   25.340246 | 5s2.5p3.(4S*).5d | 5D*  | 3   | 5s2.5p3.(2P*).4f | 3D   | 3   |    |        |  L10579  |
         108.8954   |         108.89514+ |       20 |      |      |  14.757347  -   26.142997 | 5s2.5p3.(2D*).5d | 1P*  | 1   | 5p6              | 1S   | 0   |    |        |  L10579  |
         109.2168   |         109.21609+ |       10 |      |      |  12.182994  -   23.535185 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2D*).4f | 1D   | 2   |    |        |  L10579  |
