-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        100.2670  |        100.2675+ |    11 |      |      |  12.35674  -   24.72208 | 5s.5p4          | 4P   | 5/2 | 5s2.5p2.(3P).4f | 2D*  | 3/2 |    |        |  L11502  |
        100.3380  |        100.3373+ |    95 |      |      |   0.00000  -   12.35674 | 5s2.5p3         | 4S*  | 3/2 | 5s.5p4          | 4P   | 5/2 |    |        |  L11173  |
        100.6731  |        100.6735+ |     6 |      |      |   4.41999  -   16.73546 | 5s2.5p3         | 2P*  | 3/2 | 5s2.5p2.(3P).5d | 4F   | 3/2 |    |        |  L11173  |
        100.8680  |        100.8695+ |     6 |      |      |  13.25679  -   25.54833 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).6p | 2P*  | 3/2 |    |        |  L11502  |
        100.9430  |        100.9440+ |     6 |      |      |  16.92333  -   29.20580 | 5s2.5p2.(3P).5d | 4F   | 5/2 | 5s2.5p2.(1S).6p | 2P*  | 3/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        100.9860  |        100.9861+ |     2 |      |      |  15.55688  -   27.83423 | 5s.5p4          | 2D   | 5/2 | 5s2.5p2.(1D).6p | 2P*  | 3/2 |    |        |  L11502  |
        101.8810  |        101.8821+ |     9 |      |      |  15.11726  -   27.28664 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(1D).6p | 2P*  | 1/2 |    |        |  L11502  |
        102.6945  |        102.6928+ |     6 |      |      |   4.41999  -   16.49330 | 5s2.5p3         | 2P*  | 3/2 | 5s2.5p2.(3P).5d | 2P   | 3/2 |    |        |  L11173  |
        102.8630  |        102.8629+ |    12 |      |      |  13.25679  -   25.31013 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).6p | 4P*  | 3/2 |    |        |  L11502  |
        103.0280  |        103.0279+ |    10 |      |      |  12.35674  -   24.39078 | 5s.5p4          | 4P   | 5/2 | 5s2.5p2.(3P).6p | 2D*  | 3/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        103.2990  |        103.2985+ |     2 |      |      |  13.54582  -   25.54833 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).6p | 2P*  | 3/2 |    |        |  L11502  |
        103.4540  |        103.4539+ |     5 |      |      |  12.35674  -   24.34122 | 5s.5p4          | 4P   | 5/2 | 5s2.5p2.(3P).4f | 4F*  | 7/2 |    |        |  L11502  |
