-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        100.2480  |        100.2477+ |    10 |      |      |  16.70101  -   29.06879 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        102.6600  |        102.6594+ |     9 |      |      |  18.07776  -   30.15500 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        105.6470  |        105.6448+ |     3 |      |      |  16.54050  -   28.27644 | 5s.5p3          | 3P*  | 0   | 5s2.5p.(2P*).6p | 3D   | 1   |    |        |   L7287  |
        105.9340  |        105.9337+ |     6 |      |      |  14.86806  -   26.57201 | 5s.5p3          | 3D*  | 3   | 5s2.5p.(2P*).4f | 1G   | 4   |    |        |   L7287  |
        106.3260  |        106.3260+ |     4 |      |      |  19.40437  -   31.06513 | 5s2.5p.(2P*).5d | 3F*  | 2   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        106.3550  |        106.3554+ |     7 |      |      |  14.29368  -   25.95122 | 5s.5p3          | 3D*  | 1   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
        107.1100  |        107.1097+ |     8 |      |      |  16.70101  -   28.27644 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).6p | 3D   | 1   |    |        |   L7287  |
        107.2810  |        107.2804+ |     6 |      |      |  14.39419  -   25.95122 | 5s.5p3          | 3D*  | 2   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
        108.3530  |        108.3514+ |     3 |      |      |  19.28179  -   30.72457 | 5s.5p3          | 3S*  | 1   | 5s2.5p.(2P*).6p | 3S   | 1   |    |        |   L7287  |
        108.6010  |        108.6007+ |     4 |      |      |  14.29368  -   25.71019 | 5s.5p3          | 3D*  | 1   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        109.2801  |        109.2803+ |    70 |      |      |   3.52254  -   14.86806 | 5s2.5p2         | 1D   | 2   | 5s.5p3          | 3D*  | 3   |    |        |  L11121  |
        109.5650  |        109.5654+ |     8 |      |      |  14.39419  -   25.71019 | 5s.5p3          | 3D*  | 2   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
        110.9829  |        110.9819+ |    15 |      |      |   5.51363  -   16.68520 | 5s2.5p2         | 1S   | 0   | 5s.5p3          | 3P*  | 1   |    |        |  L11121  |
