# spec, rel_mass,       charge, Hf,             ionE,       polar,  elems
e,      5.485799e-4,    -1,     0.0,            ,           ,       -
H2,     2.0160,         0,      0.0,            ,           ,       H-2
H2_1p,  2.0155,         1,      15.4258,        ,           ,       H-2
H,      1.0080,         0,      2.2391,         ,           ,       H-1
H_1p,   1.0075,         1,      15.8191,        ,           ,       H-1
H_1n,   1.0085,         -1,     1.4848893,      ,           ,       H-1
H3_1p,  3.0235,         1,      11.283,         ,           ,       H-3
He,     4.0026,         0,      0.0,            ,           ,       He-1
He_1p,  4.0021,         1,      24.5874,        ,           ,       He-1
He_2p,  4.0015,         2,      79.0052,        ,           ,       He-1
C,      12.0107,        0,      7.35351324,     ,           ,       C-1
C_1p,   12.0102,        1,      18.619034,      ,           ,       C-1
C_2p,   12.0096,        2,      43.00231,       ,           ,       C-1
C_3p,   12.0091,        3,      90.890014,      ,           ,       C-1
C_4p,   12.0085,        4,      155.38376,      ,           ,       C-1
C_1n,   12.0112,        -1,     6.182,          ,           ,       C-1
C2,     24.0214,        0,      8.54273074,     ,           ,       C-2
C2_1p,  24.0209,        1,      19.94273074,    ,           ,       C-2  
C2_1n,  24.0219,        -1,     5.26973074,     ,           ,       C-2
C3,     36.0321,        0,      8.15696357,     ,           ,       C-3
CN,     26.0174,        0,      4.69264775,     ,           ,       C-1 N-1
CN_1p,  26.0169,        1,      18.29064775,    ,           ,       C-1 N-1
CN_1n,  26.0179,        -1,     0.83064775,     ,           ,       C-1 N-1
CO,     28.0101,        0,      -1.17950394,    ,           ,       C-1 O-1
CO_1p,  28.0096,        1,      12.83449606,    ,           ,       C-1 O-1
CO2,    44.0095,        0,      -4.07475247,    ,           ,       C-1 O-2
CO2_1p, 44.0090,        1,      9.70224753,     ,           ,       C-1 O-2
CO2_1n, 44.0100,        -1,     -3.475,         ,           ,       C-1 O-2
C2O,    40.0208,        0,      2.9704,         ,           ,       C-2 O-1
N,      14.0067,        0,      4.87933027,     ,           ,       N-1
N_1p,   14.0062,        1,      19.428233,      ,           ,       N-1
N_2p,   14.0056,        2,      49.043795,      ,           ,       N-1
N_3p,   14.0051,        3,      96.492844,      ,           ,       N-1
N_4p,   14.0045,        4,      173.96623,      ,           ,       N-1
N_1n,   14.0072,        -1,     4.9497068,      ,           ,       N-1
O,      15.9994,        0,      2.55800581,     ,           ,       O-1
O_1p,   15.9989,        1,      16.1755,        ,           ,       O-1
O_2p,   15.9983,        2,      51.3315,        ,           ,       O-1
O_3p,   15.9978,        3,      106.2805,       ,           ,       O-1
O_4p,   15.9972,        4,      183.6965,       ,           ,       O-1
O_1n,   16.0016,        -1,     0.95,           ,           ,       O-1
N2,     28.0134,        0,      0.0,            ,           ,       N-2
N2_1p,  28.0129,        1,      15.581,         ,           ,       N-2
N2_1n,  28.0139,        -1,     0.352,          ,           ,       N-2
N3,     42.0201,        0,      4.2931,         ,           ,       N-3
O2,     31.9988,        0,      0.0,            ,           ,       O-2
O2_1p,  31.9983,        1,      12.0697,        ,           ,       O-2
O2_1n,  31.9993,        -1,     -0.4510,        ,           ,       O-2
NO,     30.0061,        0,      0.930593918,    ,           ,       N-1 O-1
NO_1p,  30.0056,        1,      10.194793918,   ,           ,       N-1 O-1
N2O,    44.0128,        0,      0.885928879,    ,           ,       N-2 O-1
N2O_1p, 44.0123,        1,      13.77492888,    ,           ,       N-2 O-1
NO2,    46.0055,        0,      0.372497752,    ,           ,       N-1 O-2
O3,     47.9982,        0,      1.50907122,     ,           ,       O-3
O3_1n,  47.9987,        -1,     -0.594,         ,           ,       O-3
He,     4.0026,         0,      0.0,            ,           ,       He-1
He_1p,  4.0021,         1,      24.5874,        ,           ,       He-1
He_2p,  4.0015,         2,      79.0052,        ,           ,       He-1
Ar,     39.948,         0,      0.0,            15.7596,    11.067, Ar-1
Ar_1p,  39.9475,        1,      15.7596,        ,           ,       Ar-1
Ar_2p,  39.9469,        2,      43.3893,        ,           ,       Ar-1
Ar_3p,  39.9464,        3,      84.1243,        ,           ,       Ar-1
Ar_4p,  39.9458,        4,      143.8103,       ,           ,       Ar-1
Xe,     131.293,        0,      0.0,            ,           27.263, Xe-1
Xe_1p,  131.2925,       1,      12.1298,        ,           ,       Xe-1
Xe_2p,  131.2919,       2,      33.1048,        ,           ,       Xe-1
Xe_3p,  131.2914,       3,      64.1548,        ,           ,       Xe-1
Xe_4p,  131.2908,       4,      106.3548,       ,           ,       Xe-1
